journal,score
The New England Journal of Medicine,96
The Lancet,98
Nature Medicine,58
Journal of Clinical Oncology,45
Blood,21
Leukemia,12
"Journal of Allergy and Clinical Immunology",11
Haematologica,10
Clinical Cancer Research,13
Blood Advances,7
British Journal of Haematology,7
American Journal of Hematology,6
Frontiers in Immunology,5
Annals of Hematology,3
eJHaem,2
Allergy,9
Clinical and Experimental Allergy,5
The Journal of Allergy and Clinical Immunology: In Practice,6
The Lancet Haematology,36
Leukemia & Lymphoma,4
Bone Marrow Transplantation,5
European Journal of Haematology,3
International Archives of Allergy and Immunology,2
"Annals of Allergy, Asthma & Immunology",4
Journal of Investigational Allergology and Clinical Immunology,5